 alfa2,cidade,regiao,populacao,latitude,longitude
ad,andorra la vella,07,20430.0,42.5,1.5166667
ad,canillo,02,3292.0,42.5666667,1.6
ad,encamp,03,11224.0,42.533333299999995,1.5833333
ad,la massana,04,7211.0,42.55,1.5166667
ad,les escaldes,08,15854.0,42.5,1.5333333
ad,ordino,05,2553.0,42.55,1.5333333
ad,sant julia de loria,06,8020.0,42.466666700000005,1.5
ae,abu dhabi,01,603687.0,24.466667,54.36666700000001
ae,dubai,03,1137376.0,25.258172000000002,55.304717000000004
ae,sharjah,06,543942.0,25.357310000000002,55.403304000000006
af,achu,08,,33.057654,67.982138
af,acin,18,15098.0,34.082481,70.668152
af,alekowzi,23,,32.037015999999994,65.786875
af,amrode sufla,05,,34.198303,66.955414
af,anar darreh,06,10023.0,32.758697999999995,61.653969
af,andarab,03,27034.0,35.633484,69.260195
af,arabkheyl',36,,33.65147,69.291336
af,asadabad,34,48400.0,34.873113000000004,71.14697
af,asmar,34,15708.0,35.033328000000004,71.358087
af,aybak,32,47877.0,36.26468,68.015512
af,azrow,17,12526.0,34.173553000000005,69.645728
af,baba ghumbakay,40,,34.789398,69.49728
